,LessEq_2bp,3bp_4bp,5bp_6bp,7bp_8bp,9bp_11bp,12bp_14bp,More_15bp,Insertion,MaxClass
ENSMUSG00000001552_gR277f,0.12000000000000001,0.08,0.17272727272727267,0.22181818181818186,0.023636363636363636,0.050909090909090904,0.13636363636363633,0.19454545454545455,7bp_8bp
ENSMUSG00000001552_gR115f,0.2978571428571428,0.07428571428571429,0.0675,0.028571428571428577,0.23750000000000004,0.041785714285714294,0.12607142857142858,0.12642857142857142,LessEq_2bp
ENSMUSG00000030747_gR459f,0.36,0.08,0.2,0.04,0.08,0.1,0.06,0.08,LessEq_2bp
ENSMUSG00000030747_gR252r,0.0942857142857143,0.18,0.04857142857142857,0.24285714285714288,0.039999999999999994,0.03142857142857143,0.20000000000000004,0.16285714285714287,7bp_8bp
ENSMUSG00000030747_gR91r,0.26571428571428574,0.0761904761904762,0.08952380952380952,0.10476190476190478,0.15142857142857144,0.10380952380952384,0.15714285714285722,0.05142857142857143,LessEq_2bp
ENSMUSG00000004044_gR456r,0.07,0.15,0.1625,0.13,0.1,0.07000000000000002,0.12250000000000003,0.195,Insertion
ENSMUSG00000004044_gR322f,0.14571428571428574,0.05714285714285714,0.15714285714285714,0.28857142857142853,0.09428571428571429,0.09142857142857143,0.10285714285714291,0.06285714285714286,7bp_8bp
ENSMUSG00000004044_gR312f,0.16333333333333333,0.22,0.12666666666666668,0.05,0.14,0.11333333333333331,0.1033333333333333,0.08333333333333333,3bp_4bp
ENSMUSG00000021186_gR374f,0.3417647058823529,0.05264705882352941,0.05352941176470588,0.16794117647058826,0.05176470588235294,0.11323529411764707,0.06558823529411771,0.1535294117647059,LessEq_2bp
ENSMUSG00000021186_gR343f,0.24666666666666667,0.20333333333333334,0.15,0.11666666666666665,0.05,0.08333333333333333,0.06999999999999999,0.08,LessEq_2bp
ENSMUSG00000021186_gR258r,0.20999999999999996,0.11200000000000002,0.20099999999999998,0.033,0.07800000000000001,0.10900000000000001,0.14800000000000005,0.10900000000000001,LessEq_2bp
ENSMUSG00000027861_gR180r,0.12400000000000001,0.12080000000000002,0.21280000000000002,0.03679999999999999,0.17759999999999998,0.031200000000000002,0.11919999999999997,0.1776,5bp_6bp
ENSMUSG00000027861_gR200f,0.0584,0.1536,0.17839999999999998,0.06559999999999999,0.048799999999999996,0.13279999999999997,0.17759999999999995,0.1848,Insertion
ENSMUSG00000027861_gR451f,0.23428571428571432,0.10666666666666666,0.07238095238095238,0.32571428571428573,0.05904761904761905,0.03428571428571429,0.06666666666666668,0.10095238095238095,7bp_8bp
ENSMUSG00000001751_gR57f,0.16874999999999998,0.06874999999999999,0.052500000000000005,0.10250000000000001,0.08875,0.195,0.18125000000000002,0.14250000000000002,12bp_14bp
ENSMUSG00000001751_gR93r,0.08,0.14500000000000002,0.02,0.14500000000000002,0.0125,0.415,0.08500000000000002,0.09749999999999999,12bp_14bp
ENSMUSG00000021189_gR410f,0.24,0.06,0.16,0.085,0.08,0.11499999999999999,0.13,0.13,LessEq_2bp
ENSMUSG00000021189_gR277r,0.1866666666666667,0.07666666666666666,0.1866666666666667,0.051666666666666666,0.20666666666666667,0.1133333333333333,0.10166666666666664,0.07666666666666667,9bp_11bp
ENSMUSG00000021189_gR9r,0.31,0.15000000000000002,0.24000000000000002,0.06999999999999999,0.11,0.04,0.05,0.03,LessEq_2bp
ENSMUSG00000017167_gR300f,0.14285714285714288,0.09809523809523811,0.12857142857142856,0.043809523809523805,0.24857142857142858,0.07142857142857144,0.18857142857142864,0.07809523809523809,9bp_11bp
ENSMUSG00000017167_gR390f,0.05142857142857143,0.13142857142857142,0.03428571428571429,0.045714285714285714,0.22857142857142856,0.07142857142857144,0.2771428571428572,0.16,More_15bp
ENSMUSG00000017167_gR422f,0.1,0.1,0.21999999999999997,0.1,0.04,0.06,0.27999999999999997,0.1,More_15bp
ENSMUSG00000035086_gR387f,0.175,0.045,0.41000000000000003,0.049999999999999996,0.11,0.035,0.12000000000000002,0.055,5bp_6bp
ENSMUSG00000035086_gR194r,0.22857142857142854,0.07142857142857142,0.27214285714285713,0.14142857142857143,0.04428571428571429,0.06142857142857144,0.13071428571428567,0.05,5bp_6bp
ENSMUSG00000035086_gR176r,0.15000000000000002,0.1,0.15666666666666668,0.09333333333333332,0.10999999999999997,0.11,0.18999999999999992,0.09000000000000001,More_15bp
ENSMUSG00000027859_gR92f,0.058095238095238096,0.03301587301587301,0.30984126984126975,0.01968253968253968,0.4053968253968255,0.022539682539682537,0.04825396825396828,0.10317460317460317,9bp_11bp
ENSMUSG00000027859_gR262f,0.14666666666666667,0.05333333333333334,0.1,0.08,0.32666666666666666,0.12000000000000001,0.12000000000000001,0.05333333333333333,9bp_11bp
ENSMUSG00000027859_gR366f,0.08416666666666665,0.10500000000000001,0.15583333333333335,0.2791666666666667,0.043333333333333335,0.018333333333333337,0.10750000000000003,0.20666666666666667,7bp_8bp
ENSMUSG00000035165_gR214f,0.15692307692307692,0.08923076923076924,0.026153846153846153,0.23384615384615384,0.10615384615384617,0.07384615384615385,0.1676923076923077,0.14615384615384616,7bp_8bp
ENSMUSG00000035165_gR253f,0.17882352941176471,0.13294117647058823,0.2047058823529412,0.03294117647058824,0.20941176470588238,0.024705882352941178,0.11764705882352938,0.0988235294117647,9bp_11bp
ENSMUSG00000035165_gR296r,0.11333333333333333,0.11333333333333333,0.3600000000000001,0.10999999999999999,0.10333333333333332,0.03666666666666667,0.09666666666666664,0.06666666666666667,5bp_6bp
ENSMUSG00000035606_gR42r,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,LessEq_2bp
ENSMUSG00000035606_gR133f,0.36444444444444446,0.1911111111111111,0.09,0.04777777777777777,0.09222222222222222,0.05444444444444445,0.09888888888888897,0.061111111111111116,LessEq_2bp
ENSMUSG00000035606_gR245f,0.112,0.10799999999999998,0.042666666666666665,0.11333333333333333,0.27599999999999997,0.03333333333333333,0.11866666666666673,0.196,9bp_11bp
ENSMUSG00000033792_gR15r,0.13272727272727275,0.08,0.04727272727272727,0.38181818181818183,0.08909090909090908,0.07636363636363636,0.1472727272727273,0.045454545454545456,7bp_8bp
ENSMUSG00000033792_gR23r,0.13666666666666666,0.09999999999999999,0.12166666666666667,0.12166666666666667,0.03499999999999999,0.16000000000000003,0.19166666666666668,0.13333333333333333,More_15bp
ENSMUSG00000033792_gR410f,0.12,0.08,0.31600000000000006,0.032,0.17600000000000002,0.092,0.032,0.152,5bp_6bp
ENSMUSG00000062070_gR151f,0.24000000000000002,0.16999999999999998,0.09000000000000001,0.07500000000000001,0.09,0.085,0.11000000000000001,0.14,LessEq_2bp
ENSMUSG00000062070_gR309r,0.26,0.14,0.03,0.04,0.18,0.1,0.18,0.06999999999999999,LessEq_2bp
ENSMUSG00000062070_gR454f,0.26,0.12666666666666668,0.03333333333333333,0.14666666666666667,0.08,0.13333333333333333,0.13999999999999999,0.08,LessEq_2bp
ENSMUSG00000070385_gR61f,0.21142857142857144,0.1914285714285714,0.045714285714285714,0.12857142857142861,0.1285714285714286,0.11142857142857145,0.048571428571428564,0.13428571428571429,LessEq_2bp
ENSMUSG00000070385_gR250f,0.14173913043478262,0.20043478260869568,0.11043478260869566,0.042608695652173914,0.1773913043478261,0.10913043478260871,0.09521739130434786,0.12304347826086956,3bp_4bp
ENSMUSG00000070385_gR273r,0.10461538461538462,0.35076923076923083,0.13846153846153847,0.21538461538461537,0.033846153846153845,0.0876923076923077,0.03846153846153846,0.030769230769230767,3bp_4bp
ENSMUSG00000046434_gR61f,0.32,0.13999999999999999,0.02,0.26,0.02,0.06,0.14,0.04,LessEq_2bp
ENSMUSG00000046434_gR123f,0.26,0.21000000000000002,0.03,0.05,0.060000000000000005,0.07,0.14,0.18,LessEq_2bp
ENSMUSG00000046434_gR145f,0.12666666666666665,0.24999999999999992,0.14333333333333334,0.08666666666666667,0.1,0.12,0.10666666666666665,0.06666666666666667,3bp_4bp
ENSMUSG00000105053_gR101f,0.16800000000000004,0.29155555555555557,0.18533333333333335,0.1231111111111111,0.056,0.06,0.0715555555555555,0.044444444444444446,3bp_4bp
ENSMUSG00000105053_gR212f,0.13875,0.10250000000000001,0.200625,0.160625,0.0275,0.141875,0.14687499999999987,0.08125,5bp_6bp
ENSMUSG00000105053_gR315r,0.14,0.08,0.02,0.36000000000000004,0.06,0.12000000000000001,0.0,0.22,7bp_8bp
ENSMUSG00000032952_gR429f,0.18689655172413794,0.3213793103448276,0.06137931034482758,0.042068965517241375,0.05655172413793103,0.08206896551724138,0.1613793103448275,0.08827586206896552,3bp_4bp
ENSMUSG00000032952_gR483r,0.16714285714285712,0.23571428571428568,0.05857142857142857,0.08571428571428573,0.12285714285714285,0.096,0.07742857142857147,0.15657142857142856,3bp_4bp
ENSMUSG00000032952_gR492f,0.19032258064516128,0.2716129032258065,0.04967741935483871,0.04645161290322581,0.28258064516129033,0.02903225806451613,0.08258064516129035,0.04774193548387097,9bp_11bp
ENSMUSG00000007946_gR65r,0.2,0.18000000000000002,0.06,0.08,0.16,0.04,0.14,0.14,LessEq_2bp
ENSMUSG00000007946_gR176f,0.195,0.165,0.18,0.049999999999999996,0.065,0.17500000000000002,0.04999999999999999,0.12,LessEq_2bp
ENSMUSG00000007946_gR279r,0.1366666666666667,0.19999999999999998,0.10333333333333333,0.06166666666666666,0.09,0.09,0.17666666666666672,0.14166666666666666,3bp_4bp
ENSMUSG00000032902_gR361r,0.1283076923076923,0.09230769230769231,0.13292307692307695,0.06769230769230768,0.11261538461538462,0.2292307692307693,0.14615384615384625,0.09076923076923077,12bp_14bp
ENSMUSG00000032902_gR373r,0.1364705882352941,0.07529411764705882,0.058823529411764705,0.11764705882352941,0.08823529411764706,0.3505882352941177,0.09411764705882353,0.0788235294117647,12bp_14bp
ENSMUSG00000032902_gR458f,0.16,0.2866666666666666,0.037777777777777785,0.028888888888888895,0.13111111111111112,0.05444444444444445,0.1466666666666667,0.15444444444444447,3bp_4bp
ENSMUSG00000030987_gR254r,0.22636363636363638,0.14727272727272728,0.10363636363636364,0.12272727272727274,0.08363636363636363,0.04454545454545454,0.11454545454545456,0.1572727272727273,LessEq_2bp
ENSMUSG00000030987_gR292r,0.41333333333333333,0.20666666666666667,0.05,0.043333333333333335,0.04666666666666667,0.04666666666666666,0.07,0.12333333333333332,LessEq_2bp
ENSMUSG00000030987_gR335f,0.12344827586206895,0.12275862068965518,0.04793103448275863,0.06275862068965517,0.2175862068965518,0.05275862068965517,0.16724137931034494,0.2055172413793103,9bp_11bp
ENSMUSG00000031872_gR202r,0.23842105263157898,0.12026315789473685,0.1394736842105263,0.048421052631578955,0.1494736842105263,0.1344736842105263,0.09973684210526312,0.06973684210526317,LessEq_2bp
ENSMUSG00000031872_gR240f,0.14045454545454547,0.2804545454545454,0.05454545454545456,0.14136363636363639,0.05318181818181819,0.08409090909090909,0.08727272727272734,0.15863636363636366,3bp_4bp
ENSMUSG00000031872_gR430r,0.06260869565217392,0.11304347826086956,0.5104347826086957,0.09391304347826086,0.07565217391304348,0.04608695652173913,0.07043478260869564,0.02782608695652174,5bp_6bp
ENSMUSG00000035824_gR459r,0.07714285714285712,0.07142857142857144,0.40285714285714275,0.025714285714285714,0.08571428571428572,0.03428571428571429,0.06857142857142859,0.23428571428571426,5bp_6bp
ENSMUSG00000035824_gR330r,0.2540845070422535,0.09859154929577466,0.09633802816901409,0.1352112676056338,0.1777464788732394,0.04845070422535212,0.12478873239436626,0.0647887323943662,LessEq_2bp
ENSMUSG00000035824_gR278r,0.07555555555555557,0.51,0.03222222222222223,0.05,0.030000000000000002,0.08777777777777779,0.1366666666666667,0.07777777777777778,3bp_4bp
ENSMUSG00000032563_gR146r,0.11599999999999999,0.29600000000000004,0.03333333333333333,0.2306666666666667,0.04399999999999999,0.023999999999999997,0.08933333333333333,0.16666666666666666,3bp_4bp
ENSMUSG00000032563_gR355r,0.30666666666666664,0.16999999999999998,0.07999999999999999,0.04,0.09333333333333334,0.08333333333333331,0.1466666666666666,0.07999999999999999,LessEq_2bp
ENSMUSG00000032563_gR471f,0.04,0.04666666666666667,0.12666666666666668,0.3866666666666666,0.060000000000000005,0.08,0.08666666666666667,0.17333333333333334,7bp_8bp
ENSMUSG00000040896_gR412r,0.13,0.11,0.35000000000000003,0.01,0.06,0.2,0.04,0.09999999999999999,5bp_6bp
ENSMUSG00000040896_gR423r,0.10972972972972973,0.0881081081081081,0.0318918918918919,0.008648648648648649,0.5459459459459459,0.0372972972972973,0.09243243243243242,0.08594594594594594,9bp_11bp
ENSMUSG00000040896_gR485f,0.21478260869565216,0.10956521739130434,0.36608695652173917,0.029565217391304348,0.0782608695652174,0.04521739130434783,0.09652173913043476,0.060000000000000005,5bp_6bp
ENSMUSG00000061086_gR126r,0.12266666666666667,0.1,0.04666666666666666,0.11466666666666667,0.08133333333333334,0.11733333333333335,0.16933333333333325,0.248,Insertion
ENSMUSG00000061086_gR385r,0.04909090909090909,0.2909090909090909,0.32000000000000006,0.00909090909090909,0.04181818181818181,0.058181818181818175,0.0818181818181818,0.1490909090909091,5bp_6bp
ENSMUSG00000061086_gR439r,0.152,0.055999999999999994,0.04,0.016,0.036000000000000004,0.30400000000000005,0.26800000000000007,0.128,12bp_14bp
ENSMUSG00000014776_gR16r,0.15294117647058825,0.5376470588235295,0.11411764705882355,0.03294117647058823,0.03294117647058824,0.03764705882352941,0.029411764705882342,0.0623529411764706,3bp_4bp
ENSMUSG00000014776_gR204f,0.1923529411764706,0.08352941176470588,0.031176470588235295,0.06647058823529413,0.4682352941176471,0.08647058823529415,0.03823529411764705,0.033529411764705884,9bp_11bp
ENSMUSG00000014776_gR402r,0.16545454545454544,0.05272727272727272,0.07454545454545455,0.46727272727272723,0.03272727272727274,0.014545454545454547,0.1272727272727273,0.06545454545454546,7bp_8bp
ENSMUSG00000021115_gR366f,0.205,0.14,0.060000000000000005,0.11500000000000002,0.13,0.05,0.10500000000000002,0.195,LessEq_2bp
ENSMUSG00000028607_gR355f,0.08941176470588236,0.35058823529411776,0.05294117647058824,0.00823529411764706,0.3764705882352941,0.02235294117647059,0.06117647058823527,0.0388235294117647,9bp_11bp
ENSMUSG00000028607_gR319f,0.21,0.13999999999999999,0.060000000000000005,0.0,0.01,0.06,0.3600000000000001,0.16,More_15bp
ENSMUSG00000028607_gR99r,0.22666666666666668,0.20666666666666667,0.04666666666666667,0.06666666666666667,0.24,0.05333333333333334,0.08,0.08,9bp_11bp
ENSMUSG00000001983_gR56r,0.19666666666666666,0.13333333333333333,0.10666666666666663,0.016666666666666666,0.10333333333333332,0.2833333333333334,0.12333333333333328,0.03666666666666667,12bp_14bp
ENSMUSG00000001983_gR478r,0.264,0.136,0.25200000000000006,0.096,0.08800000000000001,0.07200000000000001,0.052000000000000005,0.04,LessEq_2bp
ENSMUSG00000001983_gR490f,0.07787234042553191,0.04085106382978724,0.5782978723404255,0.014468085106382983,0.07404255319148935,0.11617021276595746,0.057021276595744685,0.04127659574468086,5bp_6bp
ENSMUSG00000001027_gR239r,0.09,0.4166666666666667,0.043333333333333335,0.08,0.03333333333333333,0.09000000000000001,0.08999999999999997,0.15666666666666668,3bp_4bp
ENSMUSG00000001027_gR235r,0.23000000000000004,0.09,0.30000000000000004,0.1,0.08,0.08,0.060000000000000005,0.06,5bp_6bp
ENSMUSG00000001027_gR34f,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,LessEq_2bp
ENSMUSG00000057329_gR352r,0.16727272727272727,0.12,0.22090909090909092,0.038181818181818185,0.23363636363636364,0.09454545454545456,0.07545454545454548,0.05,9bp_11bp
ENSMUSG00000057329_gR335f,0.08857142857142858,0.1,0.03714285714285714,0.24571428571428575,0.17142857142857146,0.04285714285714286,0.16857142857142857,0.14571428571428574,7bp_8bp
ENSMUSG00000057329_gR240r,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,LessEq_2bp
ENSMUSG00000048351_gR156f,0.2973913043478261,0.12000000000000001,0.15565217391304345,0.02434782608695652,0.06695652173913043,0.13739130434782612,0.10173913043478257,0.09652173913043478,LessEq_2bp
ENSMUSG00000048351_gR340f,0.14695652173913043,0.3130434782608696,0.19130434782608693,0.16521739130434782,0.06608695652173914,0.035652173913043476,0.039999999999999994,0.04173913043478261,3bp_4bp
ENSMUSG00000048351_gR389r,0.24324999999999997,0.10175,0.09150000000000001,0.09675,0.07275000000000001,0.05500000000000001,0.19500000000000003,0.144,LessEq_2bp
ENSMUSG00000020718_gR481f,0.23485714285714288,0.07485714285714286,0.06285714285714286,0.04742857142857143,0.15771428571428572,0.08799999999999997,0.24514285714285736,0.08914285714285715,More_15bp
ENSMUSG00000020718_gR448r,0.1294736842105263,0.2578947368421053,0.08000000000000002,0.05684210526315789,0.06736842105263158,0.10631578947368422,0.1631578947368421,0.13894736842105262,3bp_4bp
ENSMUSG00000020718_gR361r,0.25130434782608696,0.07652173913043477,0.38869565217391305,0.05043478260869565,0.0626086956521739,0.01826086956521739,0.039130434782608706,0.11304347826086956,5bp_6bp
ENSMUSG00000030890_gR119r,0.06571428571428571,0.04285714285714286,0.12000000000000001,0.66,0.045714285714285714,0.02857142857142857,0.022857142857142857,0.014285714285714287,7bp_8bp
ENSMUSG00000030890_gR332r,0.2742857142857143,0.09142857142857143,0.13142857142857142,0.04857142857142857,0.13714285714285715,0.09428571428571429,0.09857142857142863,0.12428571428571428,LessEq_2bp
ENSMUSG00000030890_gR357f,0.37,0.09,0.01,0.09999999999999999,0.11,0.13,0.12,0.07,LessEq_2bp
ENSMUSG00000027889_gR289r,0.17666666666666667,0.03749999999999999,0.009166666666666668,0.03166666666666667,0.0425,0.5233333333333333,0.054999999999999986,0.12416666666666665,12bp_14bp
ENSMUSG00000027889_gR269f,0.12705882352941175,0.09558823529411764,0.12529411764705886,0.12764705882352942,0.13882352941176476,0.05588235294117647,0.12264705882352941,0.20705882352941174,Insertion
ENSMUSG00000027889_gR124r,0.0431578947368421,0.13964912280701752,0.24350877192982454,0.05473684210526316,0.17684210526315797,0.06912280701754386,0.06035087719298245,0.21263157894736842,5bp_6bp
ENSMUSG00000031918_gR8r,0.0718918918918919,0.04972972972972973,0.0681081081081081,0.11783783783783783,0.23513513513513512,0.05459459459459459,0.27945945945945944,0.12324324324324325,More_15bp
ENSMUSG00000031918_gR22f,0.11,0.034999999999999996,0.025,0.05,0.12000000000000001,0.25,0.27499999999999997,0.135,More_15bp
ENSMUSG00000031918_gR322f,0.14780487804878048,0.12585365853658537,0.32146341463414635,0.13219512195121952,0.030731707317073174,0.04975609756097561,0.10536585365853664,0.08682926829268293,5bp_6bp
ENSMUSG00000039952_gR426f,0.14842105263157893,0.14105263157894735,0.10315789473684212,0.05999999999999999,0.07684210526315789,0.14631578947368423,0.2389473684210526,0.08526315789473685,More_15bp
ENSMUSG00000039952_gR270f,0.09333333333333334,0.06333333333333334,0.3333333333333333,0.060000000000000005,0.06333333333333332,0.16999999999999996,0.12333333333333331,0.09333333333333332,5bp_6bp
ENSMUSG00000039952_gR139r,0.12975,0.07275000000000001,0.05375000000000001,0.0835,0.15025000000000002,0.11625,0.14600000000000002,0.24775000000000003,Insertion
ENSMUSG00000052911_gR76f,0.13892857142857143,0.06821428571428571,0.14892857142857147,0.057142857142857134,0.18071428571428577,0.07964285714285715,0.16035714285714295,0.1660714285714286,9bp_11bp
ENSMUSG00000052911_gR435r,0.18588235294117644,0.14941176470588233,0.11529411764705882,0.15294117647058825,0.10235294117647059,0.01647058823529412,0.15294117647058825,0.1247058823529412,LessEq_2bp
ENSMUSG00000052911_gR462f,0.08600000000000001,0.05800000000000001,0.052000000000000005,0.066,0.326,0.126,0.126,0.16,9bp_11bp
ENSMUSG00000032602_gR90f,0.14758620689655175,0.16551724137931034,0.07931034482758621,0.22551724137931034,0.04551724137931035,0.0696551724137931,0.09793103448275864,0.16896551724137931,7bp_8bp
ENSMUSG00000032602_gR120f,0.16947368421052633,0.11,0.09157894736842105,0.41210526315789475,0.05263157894736843,0.04736842105263159,0.06842105263157898,0.04842105263157895,7bp_8bp
ENSMUSG00000032602_gR228r,0.11624999999999999,0.07625000000000001,0.10250000000000001,0.1575,0.30499999999999994,0.00625,0.07750000000000001,0.15875,9bp_11bp
ENSMUSG00000021266_gR386f,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,LessEq_2bp
ENSMUSG00000021266_gR137r,0.139,0.12100000000000002,0.063,0.119,0.16900000000000004,0.08199999999999999,0.16100000000000003,0.14600000000000002,9bp_11bp
ENSMUSG00000021266_gR58f,0.10285714285714287,0.09142857142857144,0.14571428571428574,0.045714285714285714,0.2657142857142857,0.13714285714285715,0.09428571428571433,0.11714285714285716,9bp_11bp
ENSMUSG00000059741_gR176r,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,LessEq_2bp
ENSMUSG00000059741_gR188r,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,LessEq_2bp
ENSMUSG00000059741_gR189r,0.076,0.276,0.168,0.12400000000000001,0.20800000000000002,0.04000000000000001,0.016,0.092,3bp_4bp
ENSMUSG00000018707_gR154f,0.16666666666666666,0.05333333333333333,0.13333333333333333,0.16666666666666666,0.06,0.26,0.1,0.06,12bp_14bp
ENSMUSG00000018707_gR280f,0.14,0.1328,0.16799999999999998,0.11919999999999999,0.15439999999999998,0.048,0.0664,0.17120000000000002,Insertion
ENSMUSG00000021275_gR182r,0.195,0.11,0.07,0.015,0.30500000000000005,0.08000000000000002,0.10000000000000002,0.125,9bp_11bp
ENSMUSG00000021275_gR257f,0.075,0.049999999999999996,0.145,0.27,0.065,0.25,0.07500000000000001,0.07,7bp_8bp
ENSMUSG00000021275_gR298r,0.14857142857142858,0.13571428571428573,0.2571428571428571,0.04714285714285714,0.05,0.17142857142857143,0.11285714285714289,0.07714285714285714,5bp_6bp
ENSMUSG00000032498_gR465r,0.235,0.3221428571428572,0.06071428571428572,0.06428571428571428,0.08785714285714284,0.056428571428571425,0.07714285714285712,0.09642857142857143,3bp_4bp
ENSMUSG00000032498_gR331f,0.17875000000000002,0.07375,0.24750000000000003,0.27999999999999997,0.012499999999999999,0.03375,0.08625000000000001,0.08750000000000001,7bp_8bp
ENSMUSG00000032498_gR28r,0.296551724137931,0.06206896551724137,0.2572413793103448,0.02482758620689655,0.12344827586206897,0.04275862068965517,0.09586206896551719,0.09724137931034482,LessEq_2bp
ENSMUSG00000029507_gR427r,0.18909090909090912,0.2672727272727272,0.12545454545454546,0.09272727272727274,0.06,0.02727272727272728,0.10363636363636361,0.13454545454545452,3bp_4bp
ENSMUSG00000029507_gR176f,0.1,0.18,0.18,0.0,0.08,0.1,0.16,0.2,Insertion
ENSMUSG00000029507_gR140f,0.06666666666666667,0.11666666666666665,0.13999999999999996,0.016666666666666666,0.24,0.05,0.10666666666666663,0.2633333333333333,Insertion
ENSMUSG00000052852_gR315r,0.2606896551724138,0.06574712643678161,0.3793103448275863,0.06,0.05563218390804597,0.09264367816091953,0.04206896551724136,0.043908045977011485,5bp_6bp
ENSMUSG00000052852_gR226f,0.34444444444444444,0.14666666666666667,0.11555555555555555,0.051111111111111114,0.10888888888888891,0.035555555555555556,0.1177777777777778,0.08,LessEq_2bp
ENSMUSG00000052852_gR163f,0.1525,0.16,0.08,0.1175,0.0425,0.07250000000000001,0.27250000000000013,0.10250000000000001,More_15bp
ENSMUSG00000031960_gR36r,0.172,0.13490909090909092,0.10363636363636362,0.09309090909090909,0.22218181818181815,0.05018181818181818,0.12181818181818173,0.1021818181818182,9bp_11bp
ENSMUSG00000031960_gR189f,0.16,0.08,0.26,0.02,0.13999999999999999,0.1,0.16,0.08,5bp_6bp
